["deep learning", 2494.1352311450464]
["neural networks", 2265.966336579757]
["machine learning", 1912.8462827829476]
["international conference", 1660.2907324205887]
["computer vision", 1493.7153567579608]
["training data", 1242.2072436853102]
["pattern recognition", 1110.053495145748]
["neural information processing systems", 985.7805901518733]
["speech recognition", 970.7036811172768]
["deep neural networks", 910.6027534179614]
["domain adaptation", 868.8520921772397]
["information retrieval", 816.4614954729597]
["gradient descent", 722.8579892539465]
["ieee transactions", 719.6361893902789]
["convolutional neural networks", 709.6380188683123]
["transfer learning", 678.2240543446572]
["image classification", 658.9443833400512]
["representation learning", 619.1589626712997]
["deep networks", 611.2787308702334]
["artificial intelligence", 601.8058565106681]
["latent variables", 576.098975583228]
["neural network", 566.8636660748654]
["neural computation", 560.732121031856]
["language processing", 533.0906771780841]
["training set", 527.6876764156947]
["target domain", 504.01254874119195]
["stochastic gradient descent", 486.0888543518385]
["y bengio", 484.5098792114017]
["ieee conference", 471.20073499178454]
["deep architectures", 446.9565781983069]
["hidden units", 443.7887969855757]
["boltzmann machines", 443.4312005239032]
["ieee international conference", 441.1157537282281]
["deep convolutional neural networks", 437.268705052404]
["loss function", 434.75891608973046]
["hidden layers", 432.32221420014207]
["recurrent neural networks", 431.74921390079993]
["reinforcement learning", 429.6549010168059]
["convolutional networks", 422.9318836807516]
["classification accuracy", 422.2748021074312]
["feature learning", 420.8789680359988]
["feature space", 406.17494655530743]
["hidden layer", 400.7848067753961]
["natural language processing", 400.2087623005257]
["unsupervised learning", 399.1586381743817]
["signal processing", 392.0222863725785]
["data sets", 390.99611353698026]
["machine learning research", 383.04622315931584]
["unsupervised pretraining", 382.89192548032054]
["object detection", 381.13192828217564]
["learning rate", 379.7576907169939]
["bayesian optimization", 377.74912146053373]
["mit press", 358.1476061058038]
["generative models", 356.8836951602241]
["object recognition", 353.1735284174158]
["objective function", 351.213777558313]
["multitask learning", 350.8466641507806]
["image recognition", 350.20540656352017]
["ieee trans", 348.84164158859795]
["zeroshot learning", 345.95026095844327]
["target domains", 345.71651017959886]
["optimization problem", 342.0511747214339]
["feature extraction", 341.9745325061531]
["yoshua bengio", 338.5733151849229]
["crossref", 336.8695297521334]
["experimental results", 336.4207343201132]
["vertex representations", 325.047516937364]
["test set", 320.848377874191]
["network architectures", 320.13614723940236]
["computational linguistics", 315.44983083708365]
["convolutional layers", 313.886170440157]
["language models", 312.846389625693]
["word embeddings", 309.1510109578283]
["language model", 308.4304001940347]
["source domain", 306.51144821665366]
["logistic regression", 304.4394933985511]
["data mining", 304.08864496524524]
["model parameters", 303.598465085256]
["training examples", 302.1622031435955]
["machine translation", 300.87804235260035]
["semisupervised learning", 300.13647411366253]
["computer science", 291.35286489536367]
["search space", 290.2109397831354]
["data set", 289.8453269680072]
["output layer", 289.4640146264155]
["target data", 286.0346503980914]
["imagenet classification", 284.8820459044199]
["architecture search", 282.0432799082315]
["feature representation", 276.6106039358942]
["reconstruction error", 276.3888645426769]
["related work", 275.824638126468]
["learning methods", 271.93258336283327]
["learning algorithm", 270.7979333173751]
["large number", 268.369918177104]
["batch normalization", 266.47172761456284]
["data points", 265.602164628196]
["natural images", 265.22526162633346]
["text classification", 264.9354985819543]
["activation function", 262.2022910947715]
["conference paper", 260.62333989053946]
["sparse coding", 259.3616438515519]
["training time", 258.67514269999594]
["test time", 258.6447216750064]
["generative model", 258.50312498529723]
["dimensionality reduction", 257.7754773504445]
["network architecture", 256.7941704890481]
["technical report", 251.553685256772]
["belief networks", 251.07494007361916]
["neural architecture search", 246.7267651065359]
["future work", 244.5853178254338]
["decision trees", 242.52936859164225]
["ground truth", 242.4164487237627]
["unlabeled data", 239.3421993551069]
["medical imaging", 236.95439259644337]
["time series", 236.89551574370108]
["hyperparameter optimization", 236.08599866483644]
["language modeling", 231.32353656176633]
["g e hinton", 227.95592420641054]
["semantic segmentation", 227.93324650422693]
["neural information", 227.857640247481]
["image analysis", 223.02524111974986]
["random search", 222.45106245620966]
["validation set", 221.920729990374]
["training samples", 221.8070977791825]
["feature representations", 220.7910510383443]
["recent work", 218.20846982465173]
["web search", 218.0260259928737]
["face recognition", 215.8353682235891]
["training images", 215.65927056050327]
["network structure", 214.79298664626188]
["image segmentation", 212.04088368343807]
["joint distribution", 211.53908303102554]
["feature maps", 210.80291412368203]
["data augmentation", 210.4546287131758]
["class labels", 210.44053190392128]
["mutual information", 210.27454538694596]
["deep neural network", 207.65305372121418]
["feature vectors", 205.05957911679513]
["input space", 203.0832842577697]
["boltzmann machine", 202.51316250558347]
["classification task", 202.0781273310533]
["convolutional neural network", 200.9985760537683]
["deep learning methods", 200.73551272723103]
["previous work", 200.06604988199987]
["support vector machines", 199.19610312961657]
["deep belief networks", 198.71690747908139]
["y lecun", 198.48283520364194]
["input data", 197.12686823910138]
["hash codes", 196.81620199639585]
["word representations", 195.19560813999163]
["knowledge discovery", 194.33297262498505]
["optimization methods", 193.72402035649142]
["training instances", 193.36587060325343]
["machine intelligence", 191.72686550745541]
["pattern recognit", 191.3086218345449]
["url http", 191.30862183454488]
["probability distribution", 191.17216117939182]
["generative adversarial networks", 190.2428911284771]
["feature vector", 186.4613960524526]
["variational inference", 186.15986155663015]
["test data", 183.74290527974136]
["neuron coverage", 183.60580363472982]
["european conference", 183.53669636804145]
["leaky relu", 183.05551489302664]
["image representations", 180.93161915613487]
["lect notes comput sci", 179.62682382568195]
["artificial neural networks", 179.1953095911815]
["medical image analysis", 178.93701313329805]
["image features", 178.19374056054332]
["learning representations", 176.381987584311]
["classification tasks", 173.3031120250984]
["standard deviation", 173.25228360565833]
["deep architecture", 169.67799916070004]
["function f", 169.62376851722806]
["supervised learning", 169.30524130207033]
["g hinton", 168.4347648760667]
["classification error", 168.38511820934724]
["training process", 168.29613543995472]
["learning algorithms", 167.8330218124871]
["pattern anal", 167.317047752392]
["dl systems", 167.2514081183857]
["image generation", 166.78854032223683]
["pattern analysis", 163.58273461214708]
["deep boltzmann machines", 163.04569922831578]
["loss functions", 162.85182938167492]
["data distribution", 162.68128233613112]
["multiple layers", 162.4830120661326]
["training criterion", 162.48018381887726]
["deep convolutional networks", 161.49600643421212]
["feature extractor", 160.30022867686486]
["l bottou", 160.11699870934734]
["recent advances", 159.7749618650304]
["speaker adaptation", 158.006989431657]
["random forests", 157.02391111210787]
["recurrent neural network", 156.9958592191885]
["deep network", 156.98127661486802]
["source data", 156.86231576222676]
["stochastic optimization", 156.7747107964575]
["log p", 156.32314691416374]
["international journal", 155.27064432389457]
["training procedure", 155.04779929857284]
["phd thesis", 154.27320123060107]
["cosine similarity", 153.9379250270544]
["batch size", 153.31379077518687]
["convolutional layer", 153.1108269166549]
["latent space", 152.44362099351602]
["feature spaces", 151.74579645287736]
["pascal voc", 151.4392503469161]
["unsupervised feature learning", 150.4058804060625]
["approximate inference", 150.24718230165092]
["geoffrey e hinton", 150.16030723497946]
["generalization error", 149.51427438010373]
["matrix factorization", 149.50130584212297]
["spectral clustering", 149.0956828541552]
["word vectors", 149.09439898728002]
["error rate", 148.94847320305234]
["recurrent networks", 148.742977387118]
["input image", 148.42971738621915]
["support vector machine", 148.21548563853128]
["learning models", 147.83492234198883]
["hash functions", 147.38120163851366]
["supplementary material", 147.33969027674638]
["sentiment analysis", 147.04766318296737]
["component analysis", 146.97540388901996]
["network representation learning", 145.94445619061872]
["probabilistic models", 145.66748180156281]
["output embeddings", 145.43828499488578]
["gaussian process", 144.72913130091658]
["vector representation", 144.723548736067]
["total number", 144.124585687704]
["knowledge transfer", 143.3361630847598]
["annual conference", 142.69092660064945]
["ilya sutskever", 142.50909579922396]
["network training", 141.79810893740597]
["decision tree", 141.74133188407015]
["latent representations", 141.50105453151403]
["deep models", 140.51666298598454]
["evaluation metrics", 138.44880720322627]
["learning architectures", 138.06656291667144]
["computational complexity", 137.45082816254865]
["gaussian processes", 137.2926585000678]
["natural language", 136.8965681605892]
["linear classifier", 136.70254385071243]
["label information", 136.46644273870774]
["classification performance", 136.18843528929796]
["knowledge management", 134.8079523099296]
["recent years", 134.184959088552]
["discriminative models", 133.95898725983062]
["large amounts", 133.37736658799992]
["posterior distribution", 133.22392973974343]
["khoshgoftaar j big data", 131.6907570690243]
["online learning", 131.6112397735674]
["cost function", 131.45365456990376]
["higher layers", 130.8124172305384]
["activation functions", 130.58669319719442]
["international joint conference", 130.37923296371596]
["ieee conf", 129.63625006283695]
["convolutional network", 129.45309405199995]
["search engine", 129.25114370860527]
["bounding box", 128.76334457992365]
["vector space", 127.06909004597728]
["deep learning approach", 126.73274058769096]
["h larochelle", 126.73023913918801]
["med image comput comput assist interv", 126.38212694254786]
