["neural networks", 754.4627860270758]
["deep learning", 674.0686911408919]
["speech recognition", 561.3370825625784]
["machine learning", 393.7970369039276]
["pattern recognition", 329.718276887058]
["unsupervised pretraining", 320.0162030906888]
["computer vision", 265.11811468790637]
["neural computation", 260.1334582106548]
["deep networks", 246.39544765114888]
["neural information processing systems", 245.54241805980726]
["ieee trans", 239.46884967138078]
["domain adaptation", 238.5565635695334]
["deep neural networks", 232.5149126166136]
["ieee transactions", 229.4902808685535]
["hidden units", 223.43452292677105]
["deep architectures", 219.6682536001085]
["training data", 204.34096547776912]
["international conference", 201.89005122263003]
["target domain", 186.50846042113173]
["boltzmann machines", 182.7357255825464]
["object recognition", 171.9771195948218]
["language processing", 170.28672096179247]
["representation learning", 164.8374102088467]
["multitask learning", 162.34254706850123]
["gradient descent", 160.48007580392638]
["reinforcement learning", 153.81616017902095]
["hidden layers", 148.76706273276912]
["target domains", 145.14815312883923]
["sparse coding", 144.27840135721144]
["mit press", 142.81959752685427]
["feature learning", 142.69589957127408]
["neural network", 141.17949439651704]
["recurrent neural networks", 137.26206196045112]
["transfer learning", 136.67421171727187]
["pattern anal", 131.70005243876403]
["latent variables", 127.84714663661214]
["artificial intelligence", 127.30106516672348]
["learning algorithm", 124.49244071509908]
["pattern recognit", 121.99390377855038]
["convolutional neural networks", 121.97093784173228]
["object detection", 121.20173557219616]
["boltzmann machine", 119.70326378637513]
["hidden layer", 117.20476364833401]
["unsupervised learning", 116.96040364920816]
["reconstruction error", 109.98617061476796]
["image classification", 109.96099639398177]
["selective search", 108.68547791179942]
["y bengio", 108.13096016735146]
["source domain", 106.8728898942307]
["stochastic gradient descent", 104.49741592801962]
["natural language processing", 102.17094284613421]
["ieee conf", 98.87510598012987]
["morgan kaufmann", 97.48980723967956]
["technical report", 96.8946795561692]
["training set", 96.29013267928501]
["learning rate", 94.37244704867103]
["belief networks", 93.62116409524783]
["deep belief networks", 93.61663354856222]
["optimization methods", 92.63725953605417]
["deep learning methods", 91.33567313170269]
["data set", 90.16458524723768]
["convolutional networks", 89.07822342859873]
["training criterion", 88.95921965969306]
["advances neural inf", 88.3331693749932]
["semantic segmentation", 88.29115069397926]
["target data", 87.12352824500748]
["data sets", 84.27002496607147]
["computer science", 83.17766166719343]
["generative models", 82.97267650450347]
["phd thesis", 82.89306334778566]
