["deep learning", 1947.753816140493]
["neural networks", 1695.96953746381]
["machine learning", 1320.3535160873444]
["computer vision", 1174.3911038779918]
["international conference", 1170.5169513900278]
["pattern recognition", 948.0610818001321]
["domain adaptation", 823.6555935934857]
["training data", 808.7671823294473]
["speech recognition", 780.5930660824909]
["neural information processing systems", 714.9617467035564]
["information retrieval", 686.3706695712028]
["deep neural networks", 588.0023306531773]
["gradient descent", 545.9781711834577]
["ieee transactions", 521.3112553063438]
["deep networks", 518.900406968197]
["convolutional neural networks", 514.4039570867573]
["representation learning", 484.782244607268]
["neural computation", 476.91134005286716]
["image classification", 446.7703097457893]
["artificial intelligence", 442.7317832891959]
["neural network", 432.9205287189326]
["target domain", 419.36921994496123]
["transfer learning", 387.9956892260258]
["hidden units", 381.8804539394199]
["deep architectures", 377.6752430317655]
["training set", 371.4343796992635]
["ieee conference", 368.2948273499006]
["stochastic gradient descent", 367.5389692186118]
["unsupervised pretraining", 363.95072465144676]
["boltzmann machines", 353.5888117159641]
["classification accuracy", 350.2794966937993]
["latent variables", 350.2334073933291]
["deep convolutional neural networks", 345.5833314123838]
["feature learning", 343.32296901941567]
["object detection", 339.61262284966847]
["loss function", 334.4693962129844]
["reinforcement learning", 332.49313323290954]
["y bengio", 328.55176358541405]
["convolutional networks", 328.06263904976265]
["vertex representations", 325.047516937364]
["unsupervised learning", 308.3988469323541]
["object recognition", 307.6181370903775]
["language processing", 292.9716784270608]
["learning rate", 292.8705811792446]
["recurrent neural networks", 292.0706274775146]
["hidden layers", 288.9842942739998]
["machine learning research", 283.26107258840165]
["target data", 281.2388598524946]
["ieee trans", 277.46150370578255]
["mit press", 276.8502967443637]
["architecture search", 276.2676496029435]
["image recognition", 267.7386610133124]
["source domain", 265.472258497269]
["zeroshot learning", 264.0248543325901]
["ieee international conference", 259.28177890895853]
["feature space", 257.6282854622413]
["search space", 257.55326570155626]
["natural language processing", 257.0752755483377]
["generative models", 256.92771535836107]
["hidden layer", 254.504139071287]
["sparse coding", 254.2317451366288]
["yoshua bengio", 248.80008767376907]
["convolutional layers", 247.98006042196923]
["target domains", 245.43233165421904]
["network architectures", 244.50664680889145]
["neural architecture search", 243.4686685685144]
["multitask learning", 241.58690609748774]
["reconstruction error", 240.514505391049]
["feature representation", 236.207160810798]
["learning methods", 235.2079432700081]
["logistic regression", 228.0467989364408]
["signal processing", 225.39786159380566]
["language model", 218.60191546979723]
["data sets", 218.09651154639317]
["optimization problem", 217.29044757511613]
["test set", 216.89205413521194]
["imagenet classification", 216.12513702654496]
["learning algorithm", 213.7718952140003]
["data mining", 210.53520495169693]
["web search", 208.79247407762136]
["training examples", 206.3245952906821]
["language models", 205.36047358358425]
["belief networks", 203.72869974445857]
["objective function", 203.7213749358538]
["feature extraction", 200.7391522836905]
["semantic segmentation", 200.73551272723103]
["semisupervised learning", 197.08820785840368]
["output layer", 195.65370253067624]
["network structure", 195.3146449058754]
["experimental results", 195.2218864932684]
["computer science", 194.77435773734462]
["large number", 193.82271868346402]
["hyperparameter optimization", 193.7605147014124]
["technical report", 193.7417098969186]
["model parameters", 192.41765732344084]
["natural images", 191.52016049207876]
["unlabeled data", 186.41341319191417]
["test time", 186.03168088113327]
["joint distribution", 185.65080137256132]
["boltzmann machine", 185.57547403568216]
["face recognition", 184.7552303092509]
["lect notes comput sci", 179.62682382568195]
["deep learning methods", 179.35004905861618]
["training time", 179.28996008656142]
["leaky relu", 178.45034470703857]
["random search", 176.34026832548065]
["network architecture", 175.98006765928702]
["data points", 174.79394488556542]
["data set", 173.29854339728394]
["conference paper", 171.90050077886644]
["optimization methods", 170.04347000363603]
["medical imaging", 169.7044792690718]
["deep belief networks", 167.7610073190235]
["word embeddings", 166.03732795507926]
["feature maps", 163.50685755605042]
["future work", 163.0568785502892]
["batch normalization", 160.96266419443205]
["data augmentation", 159.16587822144388]
["related work", 159.03402558643202]
["training criterion", 157.04353217902494]
["neural information", 156.5618035527089]
["european conference", 156.05526589582132]
["input data", 155.68033656520856]
["generative model", 154.20874417028878]
["y lecun", 151.78099162631443]
["machine translation", 150.55897980137732]
["dimensionality reduction", 149.72164711861436]
["source data", 149.66862994383163]
["support vector machines", 149.45855762595613]
["validation set", 149.1067391232621]
["classification error", 147.31187832128538]
["training samples", 146.9472022787084]
["supervised learning", 146.3159677339631]
["network representation learning", 145.94445619061872]
["knowledge discovery", 144.27750997915558]
["artificial neural networks", 143.35624767294522]
["g e hinton", 140.4576906726368]
["recent work", 139.0779258223055]
["feature vectors", 138.11056025621272]
["image analysis", 137.01700351867328]
["output embeddings", 136.93864496271712]
["training images", 135.94412009533096]
["pattern anal", 135.01326130514803]
["machine intelligence", 134.8079523099296]
["convolutional neural network", 134.2788358019251]
["feature spaces", 133.60227731177247]
["unsupervised feature learning", 133.56940125613013]
["feature vector", 133.50525314524248]
["deep architecture", 132.80687550263514]
["deep neural network", 132.02227747127364]
["khoshgoftaar j big data", 131.6907570690243]
["image segmentation", 131.5807333594635]
["discriminative models", 130.9144648221072]
["activation function", 130.88031262394827]
["learning algorithms", 130.59452884067622]
["language modeling", 130.01301234391303]
["bayesian optimization", 128.93552523758697]
["recurrent networks", 128.4901626919295]
["variational inference", 126.47816069856735]
["med image comput comput assist interv", 126.38212694254786]
["deep network", 125.97396320229602]
["url http", 124.76649250079015]
["multiple layers", 124.57030925070167]
["vector representation", 123.81057913408586]
["convolutional layer", 123.6664371249905]
["knowledge management", 122.82502321571363]
["image features", 122.71616582710952]
["learning representations", 122.35507246839592]
["approximate inference", 122.35174546601006]
["computational linguistics", 122.31728134499163]
["deep boltzmann machines", 122.28427442123683]
["international journal", 121.78089750893692]
["search engine", 121.48532865795097]
["input space", 121.39344818541751]
["loss functions", 120.51695138576346]
["geoffrey e hinton", 118.99496045036108]
["search results", 118.1485666027754]
["svm propdcg", 117.49686836712016]
["phd thesis", 117.43183974269634]
["classification task", 117.12323939350952]
["spectral clustering", 117.12323939350952]
["selective search", 117.00324407851878]
["classification tasks", 116.83355866860565]
["pattern recognit", 116.44872633407081]
["ground truth", 116.06332278887857]
["deep convolutional networks", 115.35429031015153]
["feature representations", 115.27552264445403]
["racial bias", 115.09897309432179]
["batch size", 114.20822061250468]
["international joint conference", 113.75115687558986]
["label information", 113.32853376224864]
["learning models", 112.94162309302746]
["previous work", 112.85777172830761]
["g hinton", 112.28984325071113]
["l bottou", 112.28984325071113]
["vertex classification", 111.88619958633579]
["bounding box", 111.26859776272936]
["cifar10 dataset", 111.03005824519062]
["higher layers", 110.29282237084608]
["word representations", 110.0250762287102]
["annual conference", 109.43286541417135]
["software language models", 109.32505176396933]
["mutual information", 109.25605244847502]
["cost function", 108.80785169021044]
["skip connections", 108.13096016735146]
["random forests", 106.44197896114876]
["pascal voc", 105.50026244263628]
["cosine similarity", 104.12059039406594]
["morgan kaufmann", 103.8085910422514]
["network training", 103.56434344836829]
["recent advances", 102.90590764188399]
["visual representations", 102.00440096082443]
["relevance judgments", 101.87758867915883]
["unsupervised domain adaptation", 101.35568197353224]
["linear classifier", 101.28737705000972]
["ieee conf", 101.0723305574661]
["highway networks", 100.85291477147204]
["probabilistic models", 100.3570311640587]
["stochastic optimization", 100.33581490973279]
["domain knowledge", 100.31730104103934]
["recent years", 99.39626599152001]
["contrastive divergence", 98.91335850746611]
["medical image analysis", 98.91335850746611]
["url https", 98.87510598012987]
["generative adversarial networks", 98.72713212894796]
["acm international conference", 98.63325350118603]
["nrl algorithms", 98.60477840653375]
["evaluation results", 98.27263976846959]
["knowledge transfer", 97.66414045101777]
["unseen classes", 97.64512119576456]
["recurrent neural network", 97.32789855440583]
["energy function", 97.18891277289042]
["pattern analysis", 97.04060527839233]
["lower layers", 96.91135934173201]
["total number", 96.91135934173201]
["hierarchical representations", 96.63393079508091]
["training process", 96.57850715801905]
["learning process", 96.3474580978324]
["error rate", 96.00778713831697]
["deep models", 95.7559512270816]
["deep learning techniques", 95.34161491043837]
["benchmark datasets", 94.7399631754854]
